model,validation_roc_auc,validation_pr_auc,roc_auc,pr_auc,accuracy,precision,recall,f1,decision_threshold,selected_model_flag,selection_rationale
Logistic Regression,0.7373800482583122,0.6996843072406409,0.777496382439271,0.7546249480216982,0.6676228370500601,0.585280195449687,0.8139732427266936,0.6809379996446971,0.4313571208414354,1,Selected for interpretability because more complex models did not materially improve validation performance.
Random Forest,0.7280422155218118,0.6914464477125482,0.7686298075295332,0.7477258579471933,0.644150396348046,0.5618226953740393,0.8330501875840589,0.6710668871528768,0.3808094056037007,0,
XGBoost,0.7385865092882138,0.7008281127713265,0.7784658788090535,0.7551266981562075,0.6707997902593997,0.5894077448747153,0.805903588872372,0.6808599706964088,0.4200313091278076,0,
LightGBM,0.7384108646726681,0.700260030137542,0.7778337251428804,0.7543512945840285,0.673329015144505,0.5926042321391158,0.8008777518227508,0.6811764351726421,0.42603367054820224,0,
CatBoost,0.7393412321952261,0.7018676745760227,0.7790136562917523,0.7559608432498534,0.6739458992628234,0.592642767819925,0.8051249380618674,0.6827335754374381,0.42207967900481846,0,
