date,USDKRW_open,USDKRW_high,USDKRW_low,USDKRW_close,USDKRW_adj_close,JPYKRW_open,JPYKRW_high,JPYKRW_low,JPYKRW_close,JPYKRW_adj_close,EURKRW_open,EURKRW_high,EURKRW_low,EURKRW_close,EURKRW_adj_close,SGDKRW_open,SGDKRW_high,SGDKRW_low,SGDKRW_close,SGDKRW_adj_close
2016-01-01,1174.1099853515625,1174.1099853515625,1172.199951171875,1174.1099853515625,1174.1099853515625,9.580900192260742,9.766300201416016,9.580900192260742,9.580900192260742,9.580900192260742,1275.3800048828125,1275.3800048828125,1275.3800048828125,1251.4864501953125,1251.4864501953125,813.3099975585938,828.8400268554688,813.3099975585938,813.3099975585938,813.3099975585938
2016-01-04,1174.1099853515625,1191.530029296875,1174.1099853515625,1174.1099853515625,1174.1099853515625,9.582599639892578,10.013999938964844,9.578900337219238,9.585800170898438,9.585800170898438,1275.3800048828125,1299.5699462890625,1275.3800048828125,1251.4864501953125,1251.4864501953125,812.8599853515625,835.6699829101562,811.4199829101562,812.8099975585938,812.8099975585938
2016-01-05,1188.9000244140625,1191.9599609375,1183.0,1187.3599853515625,1187.3599853515625,9.944700241088867,10.01099967956543,9.888099670410156,9.946800231933594,9.946800231933594,1285.3499755859375,1290.1700439453125,1273.22998046875,1286.4200439453125,1286.4200439453125,832.739990234375,835.6900024414062,830.5900268554688,833.1699829101562,833.1699829101562
2016-01-06,1189.47998046875,1200.949951171875,1185.550048828125,1188.719970703125,1188.719970703125,9.985199928283691,10.138999938964844,9.959199905395508,9.98799991607666,9.98799991607666,1278.0799560546875,1291.3599853515625,1273.9300537109375,1278.760009765625,1278.760009765625,833.9400024414062,838.0999755859375,832.280029296875,834.1799926757812,834.1799926757812
2016-01-07,1198.6800537109375,1203.199951171875,1189.9000244140625,1198.739990234375,1198.739990234375,10.109999656677246,10.220000267028809,10.069000244140625,10.111000061035156,10.111000061035156,1290.81005859375,1306.300048828125,1288.43994140625,1292.4200439453125,1292.4200439453125,835.1400146484375,836.8900146484375,828.8900146484375,835.219970703125,835.219970703125
2016-01-08,1196.699951171875,1207.800048828125,1191.6300048828125,1195.3900146484375,1195.3900146484375,10.175999641418457,10.236000061035156,10.045000076293945,10.173999786376953,10.173999786376953,1305.8900146484375,1315.3199462890625,1294.5699462890625,1306.6500244140625,1306.6500244140625,834.4000244140625,837.4299926757812,831.4400024414062,834.5499877929688,834.5499877929688
2016-01-11,1205.93994140625,1209.550048828125,1200.280029296875,1205.93994140625,1205.93994140625,9.958700180053711,10.3149995803833,9.952899932861328,9.957099914550781,9.957099914550781,1318.6600341796875,1318.6600341796875,1306.06005859375,1275.112060546875,1275.112060546875,807.510009765625,844.47998046875,807.510009765625,807.4199829101562,807.4199829101562
2016-01-12,1206.0,1214.5400390625,1203.0999755859375,1202.719970703125,1202.719970703125,10.22700023651123,10.324999809265137,10.194999694824219,10.229999542236328,10.229999542236328,1307.81005859375,1319.6199951171875,1304.0400390625,1306.7900390625,1306.7900390625,838.7999877929688,841.8599853515625,837.4199829101562,838.8300170898438,838.8300170898438
2016-01-13,1208.550048828125,1209.9000244140625,1199.5400390625,1208.5,1208.5,10.260000228881836,10.260000228881836,10.142000198364258,10.258999824523926,10.258999824523926,1311.0400390625,1311.0400390625,1297.56005859375,1310.9599609375,1310.9599609375,841.010009765625,841.1900024414062,837.4000244140625,841.1099853515625,841.1099853515625
2016-01-14,1212.4300537109375,1217.6099853515625,1208.699951171875,1210.3299560546875,1210.3299560546875,10.312000274658203,10.354000091552734,10.237000465393066,10.312000274658203,10.312000274658203,1318.1199951171875,1331.5899658203125,1311.02001953125,1318.1500244140625,1318.1500244140625,841.8900146484375,844.9099731445312,840.1599731445312,841.8900146484375,841.8900146484375
